Date,SPT_start,SPT_end
2019-11-07 11:39:24,2019-11-08 02:10:00,2019-11-08 10:51:57
2019-11-08 11:37:53,2019-11-08 16:37:24,2019-11-08 20:39:42
2019-11-10 13:22:59,2019-11-10 21:06:18,2019-11-11 00:10:41
2019-11-11 13:18:27,2019-11-11 21:49:47,2019-11-12 01:54:16
2019-11-12 12:37:51,2019-11-13 06:53:34,2019-11-13 10:19:56
2019-11-13 13:43:05,2019-11-14 04:15:26,2019-11-14 08:59:56
2019-11-15 14:21:01,2019-11-16 00:28:48,2019-11-16 05:53:17
2019-11-16 13:33:54,2019-11-16 13:53:42,2019-11-16 21:11:49
2019-11-17 16:07:07,2019-11-17 16:18:57,2019-11-17 20:08:25
