Date,SPT_start,SPT_end
2020-09-23 10:59:22,2020-09-23 17:19:54,2020-09-23 20:03:40
2020-09-24 10:55:49,2020-09-25 02:29:03,2020-09-25 10:23:07
2020-09-25 10:58:01,2020-09-25 18:52:41,2020-09-25 22:14:21
2020-09-27 09:09:27,2020-09-28 01:08:14,2020-09-28 05:48:22
2020-09-28 09:25:44,2020-09-29 02:40:16,2020-09-29 07:50:19
2020-09-29 10:11:50,2020-09-30 03:28:47,2020-09-30 07:39:46
2020-09-30 10:42:53,2020-09-30 19:17:16,2020-09-30 22:31:56
2020-10-05 15:17:43,2020-10-06 03:13:58,2020-10-06 06:08:33
