Date,SPT_start,SPT_end
2020-07-09 10:41:51,2020-07-09 12:43:20,2020-07-09 19:18:48
2020-07-10 10:52:41,2020-07-10 15:13:56,2020-07-10 20:04:41
2020-07-11 06:58:02,2020-07-11 15:37:28,2020-07-11 18:50:37
2020-07-12 09:52:32,2020-07-12 10:27:12,2020-07-12 17:42:48
2020-07-13 10:07:29,2020-07-13 21:19:44,2020-07-13 23:34:12
2020-07-15 10:13:17,2020-07-15 19:37:59,2020-07-16 05:10:15
2020-07-16 10:12:35,2020-07-16 16:39:48,2020-07-16 23:30:37
2020-07-17 10:22:47,2020-07-18 02:08:54,2020-07-18 04:46:18
2020-07-19 10:11:02,2020-07-20 03:07:44,2020-07-20 07:59:10
