Date,SPT_start,SPT_end
2019-04-02 03:29:45,2019-04-02 10:33:41,2019-04-02 14:04:00
2019-04-08 18:48:35,2019-04-08 20:49:23,2019-04-09 02:12:50
2019-04-11 16:45:01,2019-04-11 23:16:03,2019-04-12 05:36:20
2019-04-12 15:59:26,2019-04-13 00:15:37,2019-04-13 07:31:03
2019-04-13 15:36:29,2019-04-14 00:19:54,2019-04-14 08:47:40
2019-04-14 15:01:47,2019-04-14 23:35:46,2019-04-15 05:19:58
2019-04-15 16:11:12,2019-04-15 20:55:05,2019-04-16 01:36:08
2019-04-16 15:54:35,2019-04-16 18:36:14,2019-04-17 00:05:28
2019-04-17 18:04:11,2019-04-18 04:57:41,2019-04-18 13:57:57
