Date,SPT_start,SPT_end
2019-09-11 11:08:54,2019-09-11 23:32:35,2019-09-12 06:38:39
2019-09-12 14:25:11,2019-09-12 22:39:42,2019-09-13 07:28:27
2019-09-14 14:39:02,2019-09-15 00:04:02,2019-09-15 05:59:41
2019-09-15 14:38:16,2019-09-15 22:46:40,2019-09-16 02:28:07
2019-09-16 16:03:55,2019-09-16 22:11:15,2019-09-17 01:55:04
2019-09-18 14:32:27,2019-09-19 09:07:38,2019-09-19 13:28:03
2019-09-19 14:40:09,2019-09-19 16:55:39,2019-09-19 21:52:49
2019-09-21 14:43:44,2019-09-22 01:55:12,2019-09-22 10:00:51
2019-09-22 14:36:21,2019-09-22 21:42:59,2019-09-23 07:47:44
